id,name,season,raptor_offense,raptor_defense,raptor_total,war_total,createdAt,updatedAt
65,"Al-Farouq Aminu",2016,-0.361509,1.17491,0.813401,5.01692,NULL,NULL
66,"Al-Farouq Aminu",2017,-2.17082,3.378,1.20719,3.8029,NULL,NULL
67,"Al-Farouq Aminu",2018,-0.605352,2.09226,1.48691,4.75926,NULL,NULL
68,"Al-Farouq Aminu",2019,0.299846,0.636138,0.935984,5.02589,NULL,NULL
69,"Lou Amundson",2014,-4.89698,-0.561729,-5.45871,-0.241764,NULL,NULL
70,"Lou Amundson",2015,-3.3192,2.17757,-1.14164,0.77991,NULL,NULL
71,"Lou Amundson",2016,-5.49358,2.34872,-3.14486,-0.0412341,NULL,NULL
72,"Alan Anderson",2014,-0.918987,-0.0659368,-0.984924,1.82665,NULL,NULL
73,"Alan Anderson",2015,-0.272067,1.47022,1.19815,3.82792,NULL,NULL
74,"Alan Anderson",2016,0.724463,-2.81499,-2.09053,0.0645958,NULL,NULL
75,"Alan Anderson",2017,-1.81343,-5.49234,-7.30577,-0.710221,NULL,NULL
76,"Chris Andersen",2014,0.492893,2.26892,2.76181,4.84927,NULL,NULL
77,"Chris Andersen",2015,-1.62634,-0.0814518,-1.70779,0.600827,NULL,NULL
78,"Chris Andersen",2016,-0.14805,-0.464203,-0.612252,0.526616,NULL,NULL
79,"Chris Andersen",2017,-2.21829,0.912268,-1.30602,0.0847468,NULL,NULL
80,"James Anderson",2014,-1.96879,-1.39447,-3.36326,-0.728275,NULL,NULL
81,"James Anderson",2016,-3.59859,0.850105,-2.74848,0.000560113,NULL,NULL
82,"Justin Anderson",2016,-1.4462,0.200054,-1.24614,0.610282,NULL,NULL
83,"Justin Anderson",2017,-1.20182,-0.821813,-2.02363,0.451297,NULL,NULL
84,"Justin Anderson",2018,-1.16346,-0.326328,-1.48979,0.353192,NULL,NULL
85,"Justin Anderson",2019,-2.6072,0.109253,-2.49794,0.0600243,NULL,NULL
86,"Kyle Anderson",2015,-3.785,-2.69106,-6.47606,-0.673229,NULL,NULL
87,"Kyle Anderson",2016,-1.8712,0.335056,-1.53614,0.842851,NULL,NULL
88,"Kyle Anderson",2017,-0.692661,2.53378,1.84112,2.85515,NULL,NULL
89,"Kyle Anderson",2018,-0.306725,3.02029,2.71357,5.71308,NULL,NULL
90,"Kyle Anderson",2019,-2.0379,2.2217,0.183797,1.90469,NULL,NULL
91,"Ryan Anderson",2014,3.90464,-3.25788,0.646758,1.36728,NULL,NULL
92,"Ryan Anderson",2015,1.74788,-1.69329,0.0545967,2.52888,NULL,NULL
93,"Ryan Anderson",2016,1.97141,0.294976,2.26639,5.15137,NULL,NULL
94,"Ryan Anderson",2017,0.685241,-0.441394,0.243847,3.74371,NULL,NULL
95,"Ryan Anderson",2018,-0.0752398,0.176853,0.101613,2.65248,NULL,NULL
96,"Ryan Anderson",2019,-3.32983,-1.81233,-5.14216,-0.390995,NULL,NULL
97,"Ike Anigbogu",2018,-0.259622,-12.9656,-13.2252,-0.160588,NULL,NULL
98,"Ike Anigbogu",2019,-22.4488,-30.1591,-52.6079,-0.156443,NULL,NULL
99,"Giannis Antetokounmpo",2014,-1.14121,0.233401,-0.907813,1.78403,NULL,NULL
100,"Giannis Antetokounmpo",2015,-0.802796,-0.358579,-1.16137,2.21148,NULL,NULL
101,"Giannis Antetokounmpo",2016,0.757931,-0.22835,0.529581,4.70774,NULL,NULL
102,"Giannis Antetokounmpo",2017,2.77729,2.45983,5.23712,12.5597,NULL,NULL
103,"Giannis Antetokounmpo",2018,3.30536,2.2435,5.54886,12.9094,NULL,NULL
104,"Giannis Antetokounmpo",2019,3.88145,2.92507,6.80652,14.2699,NULL,NULL
105,"Kostas Antetokounmpo",2019,-14.3128,24.4432,10.1304,0.0731673,NULL,NULL
106,"Thanasis Antetokounmpo",2016,11.4355,-19.0222,-7.58675,-0.0148245,NULL,NULL
107,"Carmelo Anthony",2014,4.1749,-0.390214,3.78469,9.861,NULL,NULL
108,"Carmelo Anthony",2015,3.75197,-2.46196,1.29001,2.92421,NULL,NULL
109,"Carmelo Anthony",2016,3.45181,-2.74051,0.711304,4.45637,NULL,NULL
