player_name,season,raptor_offense,raptor_defense,raptor_total,war_total
Steve Blake,2016,-1.538541867,-2.029373271,-3.567915138,-0.460218905
Andray Blatche,2014,-0.706059223,1.567116446,0.861057223,3.340612585
Eric Bledsoe,2014,1.505533513,2.20863189,3.714165403,4.69933706
Eric Bledsoe,2015,1.725593553,1.16173159,2.887325143,8.142139031
Eric Bledsoe,2016,2.287222334,1.945745581,4.232967915,3.820122751
Eric Bledsoe,2017,3.215428645,-2.385989094,0.829439551,3.997104898
Eric Bledsoe,2018,2.607641284,1.820971572,4.428612856,9.498613612
Eric Bledsoe,2019,2.939216053,2.384481652,5.323697705,11.21312726
Jaron Blossomgame,2019,-2.094429936,0.203182846,-1.89124709,0.190143498
Vander Blue,2014,-7.90993358,0.548258877,-7.361674703,-0.035765985
Vander Blue,2015,-7.283345227,-3.938987278,-11.22233251,-0.319990877
Vander Blue,2018,-10.0717547,3.275600521,-6.796154178,-0.093205446
Keith Bogans,2014,-2.16853103,2.937303859,0.768772829,0.097334229
Bogdan Bogdanovic,2018,0.767804092,-1.703308339,-0.935504246,2.012245231
Bogdan Bogdanovic,2019,1.720246548,-0.184039197,1.536207351,4.228101939
Bojan Bogdanovic,2015,-0.066099919,-1.703332462,-1.769432381,1.033733088
Bojan Bogdanovic,2016,-1.283269854,-3.339200095,-4.622469948,-2.017526345
Bojan Bogdanovic,2017,-0.510864896,-3.052983965,-3.563848861,-0.973112557
Bojan Bogdanovic,2018,-0.184318808,-0.075332029,-0.259650837,3.464803691
Bojan Bogdanovic,2019,0.648770127,-0.640111537,0.008658591,3.833364413
Andrew Bogut,2014,-1.350776044,4.412264549,3.061488504,5.261122124
Andrew Bogut,2015,-1.338080686,4.132660496,2.794579811,5.668314947
Andrew Bogut,2016,-1.661104888,3.581418009,1.920313121,4.369135746
Andrew Bogut,2017,-5.888631403,4.142142507,-1.746488897,0.298903489
Andrew Bogut,2018,-4.545065126,2.434725089,-2.110340038,0.070751664
Andrew Bogut,2019,-2.3545755,1.171073014,-1.183502485,0.264671575
Jonah Bolden,2019,-2.778252583,-0.310637221,-3.088889804,-0.142659205
Joel Bolomboy,2017,-0.953098478,4.992294955,4.039196476,0.216222926
Joel Bolomboy,2018,-9.987544499,-2.344662949,-12.33220745,-0.184638667
Isaac Bonga,2019,-7.156291539,5.828065473,-1.328226066,0.087515249
Matt Bonner,2014,-0.3680028,0.960507952,0.592505151,1.420802941
Matt Bonner,2015,-0.73361135,0.12017904,-0.61343231,1.050500215
Matt Bonner,2016,3.236672868,2.043919349,5.280592217,0.836502658
Devin Booker,2016,-0.428322808,-3.226064478,-3.654387287,-0.98219869
Devin Booker,2017,0.99643344,-2.049198447,-1.052765006,2.39459862
Devin Booker,2018,2.522065089,-3.135958545,-0.613893457,2.073368145
Devin Booker,2019,3.582046596,-2.997282622,0.584763974,3.865201213
Trevor Booker,2014,0.31168118,-2.755943059,-2.444261879,0.268132946
Trevor Booker,2015,-0.183210579,0.874997517,0.691786938,2.725141242
Trevor Booker,2016,-0.912939581,1.60947518,0.696535599,2.854236456
Trevor Booker,2017,-1.996946455,1.154952732,-0.841993723,1.708639976
Trevor Booker,2018,-0.547100808,-1.175193131,-1.722293939,0.624769023
Carlos Boozer,2014,-4.335476485,-1.611880448,-5.947356932,-3.739327292
Carlos Boozer,2015,-1.568826105,-1.80100473,-3.369830836,-0.532423073
Chris Bosh,2014,0.120114228,0.846021198,0.966135426,6.144881634
Chris Bosh,2015,-0.48952366,0.351535021,-0.13798864,2.057206464
Chris Bosh,2016,0.699143632,0.167663941,0.866807573,3.251513564
Chris Boucher,2018,-40.16032258,-4.62878307,-44.78910565,-0.02155653
Chris Boucher,2019,0.48819498,-2.82250987,-2.33431489,0.043216419
Avery Bradley,2014,-0.927011853,0.923869525,-0.003142328,2.609026324
Avery Bradley,2015,-1.620150567,-0.736556857,-2.356707424,0.534511248
Avery Bradley,2016,1.280066123,-0.579495103,0.70057102,4.55025849
Avery Bradley,2017,-0.193555839,-0.400217775,-0.593773614,2.692490511
Avery Bradley,2018,-2.47231324,0.279783675,-2.192529565,0.412716422
Avery Bradley,2019,-2.552819263,0.684727527,-1.868091736,0.860110834
Tony Bradley,2018,-1.82011978,2.07158133,0.25146155,0.046968228
Tony Bradley,2019,1.337228884,-3.83355501,-2.496326125,0.004724878
Elton Brand,2014,-1.60968179,0.830801755,-0.778880035,1.502412873
Elton Brand,2015,-4.028092436,2.42892153,-1.599170906,0.288135481
